time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,x (m),y (m),altitude (m),loop rate (Hz),target altitude (m)
4.143,76.47053829809474,-0.08305407204711063,0.27171583116893644,56,-0.004313603043556213,0.01749897561967373,1.0007985830307007,0.09504508123397827,0.07960305902957916,30.532033920288086,-74.38051676953475,19.80419725122646,0.0,285.3268027210884,0.0
4.193,78.02052100033885,-0.3155982909682804,0.2173836752273304,56,0.022047562524676323,0.005563285667449236,1.0019818544387817,-0.11692545666694641,0.8059473315238953,30.550588607788086,-74.55395315296808,19.851768268865357,0.0,285.3268027210884,0.0
4.244,79.17281679241312,-0.4684070651980757,0.8298563777594604,56,0.015793848782777786,0.028713082894682884,0.9909065365791321,0.2730070565700531,-0.2406634708881378,18.615447998046875,-74.66958520531574,19.88420783578641,0.0,285.3268027210884,0.0
4.294,80.14414722581647,-0.26620596065510216,0.5137768050999603,56,-0.002773852553218603,0.00020241650054231286,1.0061304569244385,-0.24516498401165007,-0.39657744970321657,20.633548736572266,-74.84307981605541,19.93402193311313,0.0,285.3268027210884,0.0
4.345,81.41534705029899,-0.1099069028246744,0.00019519846597973423,56,-0.008402092382311821,-0.02706507407128811,0.9948458075523376,-0.635221132183075,-0.29695794191360475,29.013641357421875,-74.95877233673168,19.968009418000424,0.0,285.3268027210884,0.0
4.395,83.27305413264142,-0.04413156280877112,0.2018195047786407,56,0.01021321676671505,0.013802536763250828,0.9987421631813049,-0.11360865190029144,0.33247822318077086,33.719696044921875,-75.13229659432608,20.020109828355494,0.0,273.031115740138,0.0
4.445,84.95458932090114,-0.27583703387730596,0.8943886754255796,56,0.00813074130564928,0.03122417815029621,0.9916811585426331,-0.11297113552093506,0.6293552199363709,22.928634643554688,-75.24846520325882,20.05573288276657,0.0,273.031115740138,0.0
4.496,85.80796028331967,-0.4840349522561642,0.7975258268036727,56,0.0032844466622918844,0.0025894001591950655,1.0023876428604126,0.20513412997722627,0.13845272157192232,15.829191207885742,-75.4225620674473,20.110274745542355,0.0,273.031115740138,0.0
4.546,86.44146227832402,-0.4639744722247465,0.5662651860813701,56,0.004275726620107889,-0.005487019661813974,0.997695803642273,-0.4189429666042328,-0.4831877371311188,14.077301025390625,-75.53857355799495,20.14743799219974,0.0,273.031115740138,0.0
4.597,87.2703876100687,-0.29581484607026554,0.10236072920656472,56,0.00705226743593812,-0.004915929399430752,0.9928815960884094,-0.10685571386814118,-0.6110035499572753,20.017616271972656,-75.71252403926063,20.204427952969596,0.0,273.031115740138,0.0
4.647,88.35209013448079,-0.13403087091100857,0.10501804766578313,57,-0.0019876156002283096,-0.007289349101483822,0.9979352951049805,-0.18143541469573973,0.30349427256584166,22.165475845336914,-75.82841958337049,20.24324233075693,0.0,273.031115740138,0.0
4.697,89.6816086367437,-0.2490219423136576,0.32927915482164055,57,0.014297849498689175,0.028633946552872658,0.9984143376350403,-0.19467157974243163,0.05367021802663803,23.66981315612793,-76.002124503093,20.302675872935016,0.0,273.031115740138,0.0
4.748,90.28157861260864,-0.8269468333953327,1.1572162596853421,57,0.014803473837673664,0.020924149081110954,0.9962559342384338,-0.3302709843158722,-0.10063302721977234,6.0207343101501465,-76.11784376765448,20.343117254599225,0.0,273.031115740138,0.0
4.798,90.57196321895546,-0.8349301516248027,1.0540781566421782,57,0.006882906891405582,0.004759562201797962,0.9951596856117249,-0.29737389936447145,0.19893960449695589,0.3429742753505707,-76.29138975040719,20.405127982908898,0.0,273.031115740138,0.0
4.848,90.6168055485651,-0.5115673990555677,0.5198266469790593,57,0.005335360299795866,-0.000898543861694634,0.9961887001991272,-0.24549741401672362,0.19322852585315706,1.1086472272872925,-76.46492007592207,20.468812081978626,0.0,273.031115740138,0.0
4.898,90.75355114030279,-0.3070734312442122,0.430931369688696,56,0.008332266472280025,0.008559053763747215,0.9987278580665588,-0.07166616722345352,0.31294843349456786,1.9112250804901123,-76.58057966521767,20.51219134527858,0.0,273.031115740138,0.0
4.948,90.8028497808512,-0.4646371919814712,0.5766276943365459,56,0.005907902028411627,0.01098973210901022,0.9946091771125793,-0.3894145871639252,0.020005687883496284,0.4041415750980377,-76.75400345164121,20.578627877579176,0.0,285.69606975001705,0.0
4.999,90.81341263465109,-0.3759629433917362,0.43253680213980816,56,0.0024215050507336855,0.0027209455147385597,0.9995704889297485,-0.197897323513031,-0.4465262016296387,0.538342297077179,-76.86957254415516,20.623838048571322,0.0,285.69606975001705,0.0
5.049,90.83089759353513,-0.31525609861387527,0.44506310609316524,56,0.0022409281227737665,0.008974925614893436,0.9990096092224121,0.05226134405136108,0.005222510358691215,0.36926573514938354,-77.04283541329487,20.69301382090502,0.0,285.69606975001705,0.0
5.099,90.87362635366061,-0.3063758681967004,0.4935403214653196,56,0.0009031490189954638,0.007173092104494572,1.0003386735916138,-0.6080576266288757,0.28670191559791564,0.429868221282959,-77.15827437197973,20.740026534259837,0.0,285.69606975001705,0.0
5.149,90.95380381517178,-0.39581425493965966,0.5622806796605619,57,0.00880090519785881,0.011224385350942612,0.9906644821166992,-0.6519991840362549,-0.1434092542171478,0.9666132926940918,-77.33131798012126,20.81187725888524,0.0,285.69606975001705,0.0
5.2,90.98062906688335,-0.38506769976682537,0.45741039934716576,57,0.003346524201333523,0.012142634950578213,0.9962323904037476,-0.23499790682792662,-0.21663810517787932,1.390276312828064,-77.44660091285985,20.86066570457453,0.0,285.69606975001705,0.0
5.25,91.00228329834155,-0.42757286017069523,0.42165283033155676,57,0.006269375793635845,0.009621876291930676,0.9999473094940186,-0.18329063906669615,-0.06070155110359192,-0.27943065762519836,-77.56181342409741,20.91016345240268,0.0,285.69606975001705,0.0
5.3,91.01374922833566,-0.3464688485342013,0.5817331044135359,57,0.011306182481348515,0.0026869194116443396,0.9945157170295715,-0.17920564963817595,-0.19929856266975401,0.29084864258766174,-77.73449344961583,20.9857385780438,0.0,285.69606975001705,0.0
5.35,90.90945821391978,-0.46342913772227406,0.282356710506651,57,0.03931165486574173,-0.002460469026118517,0.9987013936042786,-0.5775984610557556,-0.11228542234897614,-1.2711057662963867,-77.9070278928619,21.062886205903663,0.0,285.69606975001705,0.0
5.401,90.88125788599109,-0.508916905050758,0.19299485235037495,56,0.011021372862160206,0.007093819323927164,0.9931184649467468,-0.12385707452297211,-0.15810047295093535,0.16284418106079102,-78.02195526000209,21.115178886491204,0.0,285.69606975001705,0.0
