time (s),yaw,pitch,roll,battery,x reading (m),y reading (m),z reading(m),altitude (m),loop rate (Hz),target altitude (m)
4.692,-14.81522822824104,4.191623970435532,-0.05641876204168578,60,0.9339130520820618,1.035187840461731,0.9360151886940002,0.9377001017655354,257.8412737443905,0.0
4.743,-14.817612059690928,4.173808498224865,-0.05866859770597789,60,0.9396225214004517,1.036478042602539,0.9386188983917236,0.9387168992599296,257.8412737443905,0.0
4.794,-14.8208762389894,4.240234450280991,0.010602159759535861,60,0.9361073970794678,1.0298864841461182,0.9380843639373779,0.9385466201725006,257.8412737443905,0.0
4.844,-14.824005506350195,4.001190916768151,-0.005682249745321319,60,0.9339004755020142,1.0341167449951172,0.935328483581543,0.9370278867212221,273.58319744308915,0.0
4.894,-14.822286797482157,4.264890073116996,-0.045659039877581464,60,0.9415605068206787,1.03533136844635,0.9321335554122925,0.934618425592297,273.58319744308915,0.0
4.945,-14.822345469454506,4.2072846842505065,-0.04727355657529021,60,0.9376237988471985,1.0374284982681274,0.9295347929000854,0.9322552529824512,273.58319744308915,0.0
4.999,-14.821863762630997,4.363748754711734,-0.01463909866115254,60,0.9357587099075317,1.0316033363342285,0.9285287261009216,0.9307145197286951,273.58319744308915,0.0
5.05,-14.821347019040024,4.323494359122714,-0.011674464611377822,60,0.9403793215751648,1.0305355787277222,0.9312670826911926,0.9307023974406005,273.58319744308915,0.0
5.1,-14.822818030996864,4.222742500199056,-0.10931450520872683,60,0.9415790438652039,1.0324218273162842,0.931209146976471,0.9312172252982374,273.58319744308915,0.0
5.15,-14.822860878156659,4.258591969412942,0.08110630193749929,60,0.9416475296020508,1.0297819375991821,0.9273855686187744,0.9293770606553946,273.58319744308915,0.0
5.201,-14.824068686892424,4.320999813203692,-0.14776696260041547,60,0.940812349319458,1.0293974876403809,0.925057053565979,0.9276224871939841,273.58319744308915,0.0
5.251,-14.82304630412702,4.29473823603574,-0.02624870307283207,60,0.9431843757629395,1.0289524793624878,0.9219940900802612,0.9251268731391057,273.58319744308915,0.0
5.304,-14.821798950333134,4.293898240248908,-0.1767321922739697,60,0.9419885873794556,1.0336862802505493,0.9237013459205627,0.9239161168369096,273.58319744308915,0.0
5.355,-14.823270813280052,4.356434051963704,-0.05327949857363595,60,0.941584587097168,1.04048752784729,0.9242771863937378,0.9233910195519618,273.58319744308915,0.0
5.405,-14.821248804577907,4.271473345245293,-0.06083188402945337,60,0.941413164138794,1.0389245748519897,0.9229747653007507,0.9233970932493633,280.4054017916834,0.0
5.456,-14.819840682182996,4.33633723182737,-0.07504212889102554,60,0.9421066045761108,1.034314751625061,0.9261124730110168,0.9249425564274792,280.4054017916834,0.0
5.506,-14.82034745508637,4.278463278583584,-0.007192312049865111,60,0.9370985627174377,1.0296422243118286,0.9232967495918274,0.9243517432504517,280.4054017916834,0.0
5.561,-14.820836521813892,4.25889276578288,-0.12676179170209803,60,0.9404109120368958,1.0343962907791138,0.925495982170105,0.9242626480238625,280.4054017916834,0.0
5.612,-14.822948085565006,4.3866459119779355,0.06815750758859745,60,0.9420183300971985,1.0378806591033936,0.9222760200500488,0.9233934259270564,280.4054017916834,0.0
5.663,-14.820865177933822,4.360693349222497,-0.21474490078079464,60,0.9378435611724854,1.032762050628662,0.9237632155418396,0.9229655874674177,280.4054017916834,0.0
5.713,-14.816386371528939,4.262025831502886,-0.06550357974897512,60,0.9444713592529297,1.0355815887451172,0.9211698770523071,0.9225075159124695,280.4054017916834,0.0
5.763,-14.813724291372468,4.264205056022733,-0.07298801877378973,60,0.9431411027908325,1.0290570259094238,0.9209930300712585,0.9223015445950045,280.4054017916834,0.0
