time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
5.174,-24.77777499925288,0.11578718130586194,-0.0007184005363507389,56,0.841553433481157,295.6650218525307,0.944166666666674
5.224,-24.865748741762452,0.1191914192099599,-0.02907590678968078,56,0.8671656619525145,295.6650218525307,0.9566666666666743
5.282,-24.941642434393092,0.031391820732279765,0.021776562234446448,56,0.8852230604087199,295.6650218525307,0.9691666666666746
5.336,-25.031062988601498,0.1393734652003701,-0.025125499782127615,56,0.9043043877255781,295.6650218525307,0.9808333333333416
5.386,-25.07278968784175,0.07339116816477667,-0.018181236144697077,56,0.9303169151902246,295.6650218525307,0.9925000000000085
5.438,-25.106648614874373,0.11353879912625912,-0.04253717812932171,56,0.9300803075438897,295.6650218525307,1.0
5.49,-25.1376748021667,0.045134555875821394,-0.04506846926329979,56,0.9496423107141855,295.6650218525307,1.0
5.54,-25.14893374823159,-0.06653010481448621,-0.03094106905081536,56,0.96177770903288,295.6650218525307,1.0
5.591,-25.13319602754588,-0.036144236495207115,-0.06090280890873231,56,0.9750050997068024,295.6650218525307,1.0
5.645,-25.148386597834385,-0.019084335040627388,-0.0037348396084822813,56,0.9820773244571467,295.6650218525307,1.0
5.695,-25.164443315882345,0.11852101772293688,-0.03196404677282603,56,0.9874076019854439,296.2079096045198,1.0
5.75,-25.217088289295894,0.11575327410262752,-0.009647041989799628,56,0.9847210376205392,296.2079096045198,1.0
5.802,-25.272637939829274,0.31546631783837176,-0.03478963049656111,56,0.9717542512639902,296.2079096045198,1.0
5.856,-25.352733039303924,0.2393781097788695,0.013303428949167813,56,0.9571538798532798,296.2079096045198,1.0
5.908,-25.431195814155156,0.1068955506561229,-0.08017211327881717,56,0.9429324727110534,296.2079096045198,1.0
5.962,-25.496048667358536,0.16264043108171142,-0.08117056974460496,56,0.9271638033893326,296.2079096045198,1.0
6.014,-25.530547287822706,0.2232176312052584,-0.033183425390506276,56,0.9166831912221821,296.2079096045198,1.0
6.065,-25.55951392115966,0.19332227343594835,-0.06653405881751517,56,0.8992322322658799,296.2079096045198,1.0
6.117,-25.57670154422177,0.32646794187946826,-0.06611386189261255,56,0.8863229128785516,296.2079096045198,1.0
6.172,-25.57875271686749,0.21026014254612926,-0.07992692828968383,56,0.8704928464017987,296.2079096045198,1.0
6.225,-25.56863268909504,0.23928437218236948,-0.08120942828695385,56,0.8522828572267825,299.7644368210406,1.0
6.275,-25.551887433045042,0.2547223662875462,-0.07562612892491229,56,0.8472888771510025,299.7644368210406,1.0
6.329,-25.518368458829336,0.3049001833588493,-0.056599451532563363,56,0.838837581040752,299.7644368210406,1.0
6.384,-25.46907494762194,0.24635374048986705,-0.06575485731749046,56,0.8345268319545881,299.7644368210406,1.0
6.434,-25.405841799419726,0.25683222658525995,-0.06525429468270834,56,0.833391038046514,299.7644368210406,1.0
