time,thrust,velocity,yaw,pitch,roll,battery,x,y,z,yaw obs,pitch obs,roll obs,x obs,y obs,z obs,loop rate (Hz),target altitude (m)
19.475,42493.0,0.08120229243095756,-1.9819881571055618,-0.7653914399946506,0.2583077319401143,55,0.4889841834277486,0.7037528788470081,1.3091175121072984,-1.9838385638780605,-0.7642842984672891,0.23950854329917498,0.4880577575248783,0.7066096378025366,1.312497251596117,285.4940473461437,0.9112496108261433
19.526,43632.0,0.057476450736742124,-2.018542041265801,-0.7037196187690976,0.279786760708696,55,0.49169726573773864,0.693217605657589,1.3004053099645503,-2.000220517618387,-0.7198928346092631,0.27376888641703306,0.4913039377207409,0.6907547498462019,1.2994740771358895,285.4940473461437,0.9013630016834281
19.576,44208.0,0.06830840516071074,-2.138754857829264,-0.8297472913278574,0.4505458748843169,55,0.49433034382066626,0.679146744315286,1.2863134335334585,-2.103594628090477,-0.7498232532444853,0.3615089006431857,0.49368387520445955,0.6793725161904883,1.287709015612431,285.4940473461437,0.8914945122654102
19.626,44187.0,0.04833880440768573,-2.2800361771142006,-1.0712918253136485,0.5070960618816028,55,0.49450094577204573,0.6665256424387443,1.2749356491834107,-2.238537297655522,-0.9973951098326984,0.46338966377161106,0.49439214785996194,0.6644252037838881,1.2741811912874283,285.4940473461437,0.8817312212457674
19.677,44673.0,0.04548609449392308,-2.4015274931318595,-1.1015938087176271,0.4388532691213696,55,0.4994099612274565,0.6480963564865359,1.2571250114189891,-2.3588380290121713,-1.120803714751779,0.4280451068017362,0.4971925726967681,0.6518784158898472,1.2615048255286536,285.4940473461437,0.8719108110920484
19.727,45703.0,0.05012011053394215,-2.5513390053920793,-1.1244029719026398,0.25730786862246735,55,0.5036421545778147,0.6361878645263859,1.2439682706015587,-2.51599839611811,-1.147851338424638,0.287897216084388,0.5034990794190942,0.6335981045684419,1.2426503662797976,285.4940473461437,0.8606843023958808
19.778,46087.0,0.03317456318863838,-2.671934934682683,-1.2471063700554237,0.3595462870731622,55,0.5100353017310183,0.6192438056121071,1.2253905520844721,-2.640573760392703,-1.2022332293964746,0.33871846269896366,0.5089066892892661,0.6199237057751773,1.227290788825291,285.4940473461437,0.8508180129464935
19.828,46463.0,0.03736243391991224,-2.7362051586473286,-1.1172968417435838,0.4316449755684861,55,0.514174495687428,0.6091610203883132,1.2119123139732244,-2.716321817110391,-1.1189381363105118,0.36898250740872923,0.5141570498960103,0.6068688475810597,1.2104679987853244,285.4940473461437,0.8409211239638523
19.878,46751.0,0.04963250102359321,-2.750883114536163,-1.0216861110077156,0.441007112926552,55,0.5187644530598979,0.5906417931620677,1.18889738676711,-2.7512580280688725,-0.9964992859861342,0.44442295556632705,0.5185455709348167,0.5896605466381722,1.1899671647911283,285.4940473461437,0.8311045137563466
19.929,47300.0,0.054030553119954944,-2.7427462065428045,-0.9781449912581671,0.4117526305678187,55,0.5212984990939376,0.5809756048982603,1.1739002034318322,-2.7464336652114842,-0.9780976799804183,0.4280740695547917,0.5209054100776249,0.5787796039202926,1.1723709575263168,278.17185447969814,0.8212441042139896
19.979,47906.0,0.05980070915786675,-2.7326271367056485,-0.8905591038923484,0.5002382859592935,55,0.526676180411439,0.5681898936917829,1.1520765896665146,-2.7351484404123054,-0.8548256526405467,0.4735664247513938,0.5259653111320207,0.5663956231502721,1.152484065155596,278.17185447969814,0.8113904945687197
20.029,48631.0,0.05843172773492015,-2.7047349356787067,-0.8854550086521198,0.5884036617848699,55,0.5260853029175748,0.5700355737240171,1.1398272311505173,-2.720114920075084,-0.8772327535865264,0.6281611479677759,0.5252237513760475,0.5691055850021532,1.137213732652852,278.17185447969814,0.8014727659054567
20.08,47618.0,0.05478877172800041,-2.646246128334571,-0.8787624380834849,0.6677463857113556,55,0.5199714284007743,0.5772364864534315,1.1229326601811986,-2.6668965421567687,-0.8846078882142329,0.7675439589011,0.5194808093949494,0.5768109103004625,1.1227381523734599,278.17185447969814,0.7901231390905085
20.13,46767.0,0.044141243126702395,-2.6659397714034476,-0.8849602952240015,0.6277732197208293,55,0.5157147389542978,0.5831453713424516,1.1130552982792148,-2.669510712764272,-0.8873262042840485,0.7721733591397718,0.5147048473618653,0.5837558275334239,1.111325714486948,278.17185447969814,0.780164131054213
20.18,46426.0,0.04741377944344024,-2.693266915961682,-0.8445026862766252,0.5936582588170958,55,0.5078769620527654,0.5979797245493701,1.099692189251464,-2.6915956089093642,-0.8565000793463852,0.6596923667251685,0.5072122787354473,0.5977861257278337,1.0996980111130918,278.17185447969814,0.7703137613594373
20.231,45899.0,0.05405402321997065,-2.7443403346628927,-0.8936643188976517,0.5097591587817654,55,0.5016718610137377,0.6102781456969967,1.0919166277502224,-2.734507942636072,-0.8751616708839449,0.5199986347710144,0.5003654525105982,0.6119606847892428,1.090650520494669,278.17185447969814,0.7604158323876566
20.281,44994.0,0.06173068515402456,-2.7980481671384747,-0.881818391911028,0.3926161071718183,55,0.49191083310997463,0.6261682780679054,1.0818971681331369,-2.787987628924037,-0.8627497752826041,0.3990606440597883,0.49086175450062386,0.6273999918299505,1.0817456739638804,278.17185447969814,0.7505085435645517
20.332,44351.0,0.07426715898455098,-2.863078834302757,-0.8438251707329584,0.2774958598817631,55,0.48562510996433267,0.6355461855616319,1.0757779575775475,-2.8511156081737403,-0.8138639912172533,0.27066009442543987,0.48457750814762157,0.6370646380368625,1.0750727355377943,278.17185447969814,0.7406331342532744
20.382,43005.0,0.19243628905996138,-3.031880689102024,-0.917743509572172,0.5394402996418011,55,0.48008763921650716,0.6426540163042362,1.0708784967061176,-2.920811496637122,-0.8498676973957215,0.36230615369863345,0.4803599603583605,0.6429328310043141,1.0715175325054798,278.17185447969814,0.7308241239294644
20.432,43845.0,0.051076975628614345,-3.1659868841692274,-0.8106057644876483,0.45934707335297503,55,0.4759128517603061,0.654981181875479,1.0653672455044643,-3.127754453675626,-0.797159399758476,0.40350685358468785,0.4747633422020063,0.6561243763991078,1.0647552959790676,278.17185447969814,0.7210828325728449
20.482,43371.0,0.08079271626875778,-3.481971970233518,-0.8740715552006116,0.3320527937042431,55,0.4724074820995845,0.6670377645296011,1.0607843551501197,-3.3634084154633235,-0.7691722511489251,0.36421623420455357,0.4719262516890556,0.6678527201935986,1.0604593143531256,285.714285804567,0.709818124462638
20.533,42361.0,0.06372049300944221,-3.6966529343110586,-0.9350356552102118,0.14776124825404832,55,0.46997259964114546,0.67371288198575,1.0582611496222072,-3.6420386217841862,-0.8901278236499277,0.0049841685458336775,0.46981604440518837,0.674874877028984,1.0580592035029515,285.714285804567,0.6999555549527998
20.583,41864.0,0.07565452707190172,-4.076390020769812,-0.8178376271674043,0.04349314247146446,55,0.4676226913733295,0.677553491526734,1.0531446035575711,-3.9343556712623284,-0.7919105135355924,-0.08438103657679473,0.46750021786987095,0.678018693146324,1.053614115434985,285.714285804567,0.6901537845183479
20.633,41585.0,0.06729272607966626,-4.349632559710074,-0.85926016155661,-0.002857068166167472,55,0.46536587087764014,0.674872286008573,1.046378007641739,-4.283860883303579,-0.7942565933769696,-0.019978124108707213,0.46616600194300134,0.676153155804092,1.0489793613952811,285.714285804567,0.6802838951255838
20.684,41749.0,0.07679366622005955,-4.631746749564833,-0.7334462797744289,0.2983735891507397,55,0.46342385401863306,0.6707075429530981,1.0415704377894746,-4.56565352584577,-0.7007534189338414,0.244159827794062,0.4631659391325797,0.6702831203130527,1.0421386032327216,285.714285804567,0.6703818862213716
20.734,42196.0,0.06834884535356128,-4.728953787287452,-0.7973372918069713,0.47011175179873016,55,0.46335369543951865,0.6623141912571936,1.0336868756582116,-4.708384529326112,-0.7476395710698142,0.4194188861958198,0.46237192000953126,0.6642529501248438,1.0362433637212909,285.714285804567,0.6605389964155745
20.784,42958.0,0.0638739197421638,-4.79037119688646,-0.8390353241810614,0.21348062078571212,55,0.46338561552103097,0.6567251354239767,1.0271331094357494,-4.7865936951805,-0.7853729728088358,0.25817808207548515,0.46300117234946375,0.6556440014928155,1.0272856237436028,285.714285804567,0.650704186483983
20.835,43531.0,0.05152444208271832,-4.785912316256165,-0.9827299661859833,0.3585142862078492,55,0.46232913199099274,0.6491182631946935,1.0169347618115854,-4.788179989778192,-0.9163479565723334,0.28188770921038414,0.46201308331178303,0.6493967623977475,1.018225759008304,285.714285804567,0.6393623195500522
20.885,43709.0,0.05752026740360857,-4.7197220725219715,-0.9743290511044506,0.2812032768029055,55,0.46412951184670026,0.6406087332883991,1.0087128224997692,-4.7442122381314356,-0.9419310713459818,0.3029308122233852,0.46384608217074175,0.6388970152503626,1.0081742004355179,285.714285804567,0.6295546692042044
20.935,44317.0,0.04385399706058603,-4.634468377990451,-0.9967539089747082,0.3260629121531636,55,0.46869135358782466,0.6255918492179967,0.9948288399880489,-4.667914452887309,-0.9648632651950501,0.26011965085739336,0.4685663812737184,0.6265558626346713,0.9970564064906235,285.714285804567,0.6196345405752949
